기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
디케이앤디,2018.11.02,"5,800~6,600","6,000","10,440",256.3:1,-,키움증권,263020
디자인,2018.11.01,"9,000~10,100","10,100","3,573",771.73 : 1,3.86%,대신증권,227100
노바렉스,2018.10.30,"19,000~24,000","19,000","18,240",48.64:1,18.99%,NH투자증권,194700
셀리버리,2018.10.22,"20,000~25,000","25,000","22,800",698.98:1,16.80%,DB금융투자,268600
대보마그네틱,2018.10.18,"22,500~25,500","31,000","18,450",995.40:1,45.41%,한국투자증권,290670
디비금융스팩6호,2018.10.17,"2,000~2,000","2,000","8,000",,-,DB금융투자,306620
엘앤씨바이오,2018.10.16,"18,000~20,000","24,000","18,000",937.08:1,17.27%,"한국투자증권,DB금융투자",290650
노바텍,2018.10.16,"12,500~16,500","10,000","18,125",66.32:1,0.03%,하나금융투자,285490
옵티팜,2018.10.11,"10,000~12,000","10,000","29,458",94.57:1,11.60%,NH투자증권,153710
로보티즈,2018.10.10,"9,200~11,300","14,000","15,640",958.60:1,39.80%,"미래에셋대우,KTB투자증권",108490
에스퓨얼셀,2018.09.18,"10,600~14,000","16,500","20,034",942.85:1,40.50%,"한국투자증권,유진투자증권",288620
크리스에프앤씨,2018.09.11,"34,000~38,200","30,000","119,544",7.89:1,-,"KB증권,KTB투자증권",110790
푸드나무,2018.09.11,"18,700~22,700","24,000","29,093",791.08:1,16.50%,"미래에셋대우,신한금융투자",290720
나우아이비캐피탈,2018.09.10,"9,500~11,000","8,500","23,750",63.17:1,-,신영증권,293580
IBKS스팩10호,2018.09.10,"2,000~2,000","2,000",-,,-,아이비케이투자증권,299170
하나제약(유가),2018.09.10,"24,500~28,000","26,000","99,995",101.50:1,0.10%,미래에셋대우,293480
지티지웰니스,2018.09.04,"9,000~9,800","11,000","7,200",946.89:1,4.22%,대신증권,219750
우진아이엔에스(유가),2018.08.30,"15,000~17,000","15,000","31,500",129.06:1,0.77%,신영증권,010400
명성티엔에스,2018.08.29,"16,100~18,700","20,000","25,760",745.56:1,11.73%,KB증권,257370
