종목코드,종목명,매출액 증감율,영업이익 증감율,EPS 증감율,자산비율,부채비율,유동비율,순운전자비율,예상 시가총액,PBR,PSR,ROE,ROA,OPM,시초/공모(%),nsi_5,업황,공모주 시장 동향,유통가능물량비율,기관경쟁률,의무보유확약비율,공모금액,공모밴드비율
067390,아스트,37.39898252471255,-209.40059217790977,-168.86335457658532,358.2961290245652,258.2961290245652,84.15676671181261,-8.57930489655942,119233027500.0,4.374490737438286,1.9583415159739241,-24.280228747906403,-6.673597135407334,-6.750765748352302,-10.0,105.31800000000001,-0.2111465848539696,0.7272727272727273,58.8,74.59,0.0,19982000000.0,111.76
080580,오킨스전자,2.8665718372862194,-16.66393192397182,-1.570453842418675,236.552441282281,136.552441282281,107.8763980973031,2.4139671532159523,44020000000.0,2.1582382849764543,1.1812384888614498,7.061222375415878,3.025954677418992,7.1711638982443455,54.93,105.31800000000001,1.9506393212976665,0.7272727272727273,62.46,268.25,73.2,10995000000.0,110.08
194510,파티게임즈,50.97934511150316,29.87914796782586,27.405965007409332,131.14395371821354,31.143953718213513,645.1354074989067,64.39148316936289,59701200000.0,3.7918615588334306,2.207873370989283,50.935395624882794,42.366881443782844,33.77309407446161,100.0,98.824,-4.197380854351108,0.7272727272727273,14.65,224.12,34.02,10080000000.0,110.64
196490,디에이테크놀로지,44.13752174891628,35.19695163391243,15.133963270856626,239.2438758772719,139.24387587727193,176.72649656835267,28.267629608137607,34608420000.0,3.6970307145935725e-06,1.1990717512825065e-06,22.225165892842046,9.28975331608621,9.472503045747684,18.18,99.93,0.38382655406314514,0.7272727272727273,48.8,55.28,1.69,9464000000.0,87.42
200230,텔콘,32.40646791344319,76.11953682801754,76.14852646416374,143.04963313211954,43.04963313211954,305.46291409619596,59.26270093104355,72819000000.0,3.23543080872663,1.561344406752056,34.94345204203334,24.503791782340368,21.139512755653556,-4.83,101.544,2.6624841835845032,0.7272727272727273,24.28,162.88,8.81,17500000000.0,107.41
112610,씨에스윈드,-6.7415552389744,103.03171910080727,88.93294485285168,196.44755656247955,96.44755656247955,109.94826600317839,4.446866166482575,751928602500.0,5.521428081740914,2.5361208133152795,18.798971549578724,10.040432267837497,11.9431062463147,-10.0,101.13600000000001,1.184370572603917,0.7272727272727273,27.08,109.3,4.27,182900000000.0,116.78
140520,대창스틸,-9.478332981352962,16.688818932635368,12.923253705589834,269.72950355818654,169.72950355818656,82.17866599494734,-10.18919777398637,36415000000.0,0.43648161672276475,0.10893262884711899,5.176478368972512,1.915118013358953,2.7143426463334928,44.2,102.478,0.26921700049138186,0.7272727272727273,17.24,219.91,18.9,4400000000.0,111.11
173940,에프엔씨엔터테인먼트,54.856097870867636,-18.41931396590408,-43.257015656917005,301.7686114072567,201.76861140725669,100.53205497289636,0.33007901426516234,176481620000.0,17.84188193703104,3.5570741005158193,26.179072199359528,9.393230283938326,11.131664299787946,-10.0,102.478,3.3295637487490626,0.7272727272727273,24.37,185.35,23.25,33600000000.0,107.69
178920,SKC코오롱PI,15.269809087586456,44.405304536930196,56.38456672704416,124.41163192760634,24.411631927606344,257.5322603276379,19.44064931226166,234930576000.0,1.1075380825089447,1.7570809228189685,10.05507436889817,9.734519240366168,29.51188389202607,-2.5,103.11600000000001,-0.5456650200065174,0.7272727272727273,41.41,23.01,0.0,102400000000.0,58.18
200780,비씨월드제약,19.13662676829251,41.519075475300426,-5.014278709350109,163.64878777885426,63.648787778854256,279.1583617925205,40.33074114110215,91934851100.0,3.546732293927656,3.026625348452145,13.315817044308934,7.860901714157842,13.327112468813368,15.29,107.168,-2.0408216448021195,0.7272727272727273,32.17,356.75,54.5,19872000000.0,113.36
196170,알테오젠,39.587303072643856,-8.998628619899485,12.0099642091782,137.7436241420434,37.74362414204339,859.3079338122042,81.22917948468505,145062658000.0,24.022094748938756,26.24456405993959,35.08403902494051,19.307874724680545,27.332181283815665,-3.27,106.268,0.4263027870298076,0.7272727272727273,45.64,409.0,14.4,20700000000.0,106.12
143540,영우디에스피,218.16135349947749,588.3871468964666,414.00952680040905,197.1595290925146,97.15952909251459,95.65117521100908,-2.1009420273265333,23030910000.0,1.5033727692811818,0.2568987016532964,66.83837099843059,33.90065461510994,9.883656909537612,10.0,102.21000000000001,1.8058479184566785,0.7272727272727273,59.07,17.0,0.0,10400000000.0,57.14
182690,테라셈,33.57541836420386,66.87388089466346,85.93996543886124,162.71186706038642,62.71186706038644,154.75406828568592,19.999124150688463,41899020000.0,3.41231163069356,1.2938011288447473,40.336392988482054,25.400214547428945,20.402680123701927,6.67,101.274,0.9942528911651616,0.7272727272727273,38.22,18.4,0.0,6480000000.0,77.92
192440,슈피겐코리아,31.808472815907724,47.76340900997077,117.28753917078068,118.41124888336023,18.41124888336024,591.6451856308767,64.68874296503881,171172210000.0,4.348008681835068,2.574772122606083,40.26690434396166,25.742975730035866,23.99323611231697,34.91,93.88399999999999,-2.005010168952328,0.7272727272727273,32.46,255.6,0.0,41625000000.0,110.0
191420,테고사이언스,-0.8145141309063477,-3.8090946155725574,-6.961825449640788,116.0946924646928,16.09469246469279,2274.272042369825,79.10152479933545,48060000000.0,3.5318594161646284,7.619959691212331,11.34104299780145,10.103820716342602,28.84854065479456,100.0,91.848,-0.22859247761370272,0.7272727272727273,41.42,591.09,76.71,5593000000.0,117.39
018260,삼성에스디에스,15.411006441340124,-9.386407164500424,-19.93856211123931,136.48163391459053,36.48163391459053,240.18346530711275,32.25438366289223,14701782000000.0,3.785821600143768,2.086296496545416,8.164429468116802,6.150497491101491,7.175264521665165,100.0,92.87199999999999,-2.5449352416574675,0.7272727272727273,36.24,651.5,0.0,914940000000.0,111.76
041920,메디아나,13.980978219414677,412.3606389756966,161.9114445735469,177.36240036729362,77.3624003672936,200.04661323787093,29.596610633607085,44768836000.0,2.906342490358092,1.3296054948111928,21.716330437368256,11.74436159036844,11.009041186099513,2.74,99.81800000000001,0.21931723582993698,0.7272727272727273,32.4,86.0,74.52,7920000000.0,103.33
194480,데브시스터즈,7500.226433670691,1058.5095040870403,873.700352193601,151.28117905971234,51.28117905971234,276.4792410050196,59.54229253838022,572400000000.0,28.550083402407473,9.337294474388912,111.41399023785232,73.61102519381491,39.30251193865199,33.96,99.97200000000001,3.4477420786633117,0.7272727272727273,47.45,651.0,73.84,116100000000.0,113.98
