종목코드,업종명,시장구분
101990,운수장비,KOSPI
010820,기계,KOSPI
016800,기타제조업,KOSPI
001020,종이목재,KOSPI
090080,운수장비,KOSPI
010770,서비스업,KOSPI
058430,철강금속,KOSPI
103160,유통업,KOSPI
017810,서비스업,KOSPI
001310,건설업,KOSPI
103140,철강금속,KOSPI
005810,서비스업,KOSPI
017170,서비스업,KOSPI
033180,전기전자,KOSPI
086790,기타금융,KOSPI
099340,기타금융,KOSPI
099350,기타금융,KOSPI
000660,전기전자,KOSPI
071090,철강금속,KOSPI
019490,전기전자,KOSPI
103150,음식료품,KOSPI
103155,음식료품,KOSPI
000140,서비스업,KOSPI
000145,서비스업,KOSPI
036460,전기가스업,KOSPI
010460,기타금융,KOSPI
005430,운수창고업,KOSPI
071050,기타금융,KOSPI
071057,기타금융,KOSPI
071055,기타금융,KOSPI
008320,전기전자,KOSPI
010040,비금속광물,KOSPI
025540,전기전자,KOSPI
004090,비금속광물,KOSPI
002960,화학,KOSPI
003060,의약품,KOSPI
098150,기타금융,KOSPI
002000,비금속광물,KOSPI
002005,비금속광물,KOSPI
093820,기타금융,KOSPI
025610,기타금융,KOSPI
015760,전기가스업,KOSPI
002300,종이목재,KOSPI
025890,기계,KOSPI
000970,철강금속,KOSPI
104700,철강금속,KOSPI
017960,기계,KOSPI
024720,화학,KOSPI
000240,화학,KOSPI
007280,철강금속,KOSPI
010100,운수장비,KOSPI
003350,화학,KOSPI
011500,화학,KOSPI
002390,의약품,KOSPI
014790,건설업,KOSPI
018880,기계,KOSPI
042700,기계,KOSPI
008930,의약품,KOSPI
009240,유통업,KOSPI
020000,섬유의복,KOSPI
003680,음식료품,KOSPI
016450,섬유의복,KOSPI
009180,운수창고업,KOSPI
004710,전기전자,KOSPI
010420,서비스업,KOSPI
004150,종이목재,KOSPI
014680,화학,KOSPI
025750,종이목재,KOSPI
012170,전기전자,KOSPI
004960,건설업,KOSPI
004965,건설업,KOSPI
011700,기계,KOSPI
034310,서비스업,KOSPI
001750,증권,KOSPI
001755,증권,KOSPI
009420,의약품,KOSPI
014130,운수창고업,KOSPI
006440,건설업,KOSPI
003300,비금속광물,KOSPI
007860,운수장비,KOSPI
