일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/06/21,875.7,3250.76,9985.62,7719.14,2221.83,2303.92,8310.01,6370.2,97.51,51392.47,630.02,2857.3,639.18,1736.02,879.17,441.56,3425.84,772.75,1954.77,79.43,3012.44,1289.98,1677.58,11.39,129.68,247.5,252.95,1029.47,10051.35,2575.11,652.45,1410.74,3203.18,2266.05
2023/06/20,886.41,3287.1,10225.4,7859.15,2240.49,2309.29,8319.79,6279.81,97.73,50751.24,636.84,2895.97,650.61,1759.15,899.61,449.49,3445.57,789.98,1963.16,80.22,3040.22,1302.95,1713.56,11.51,132.25,248.17,255.67,1048.21,10125.26,2649.44,659.21,1423.86,3174.97,2299.01
2023/06/19,888.61,3306.05,10344.02,7877.13,2267.78,2284.4,8718.83,6328.74,96.85,50550.14,643.1,2947.2,651.0,1735.43,897.67,454.34,3414.0,773.85,1978.38,81.12,3062.18,1323.19,1703.77,11.58,131.79,244.4,250.65,1039.74,10134.7,2632.48,664.32,1457.8,3146.65,2299.71
2023/06/16,887.95,3334.41,10407.73,7916.84,2275.36,2283.09,8657.57,6326.45,96.72,50011.02,642.51,2925.62,651.81,1737.67,904.77,458.02,3363.69,772.67,1917.6,79.17,3069.49,1319.53,1710.12,11.55,131.64,243.02,251.29,1039.17,10254.59,2663.75,663.5,1484.76,3168.28,2283.84
2023/06/15,878.04,3291.52,10427.55,7837.9,2213.2,2280.41,8552.73,6259.65,95.79,49808.49,637.96,2909.41,649.43,1721.24,908.91,451.43,3362.59,769.52,1858.25,77.72,3030.33,1311.33,1711.14,11.43,128.93,240.05,249.9,1025.57,10122.95,2679.62,664.41,1487.09,3140.78,2268.15
2023/06/14,871.83,3252.35,10483.88,7898.27,2189.22,2273.85,8747.35,6304.69,96.33,49518.88,634.11,2882.96,634.52,1739.46,915.47,450.7,3387.66,767.75,1776.36,78.34,3020.52,1306.01,1649.86,11.53,128.02,242.65,250.88,1045.48,10113.16,2694.47,671.81,1458.55,3133.52,2278.47
2023/06/13,896.81,3363.21,10584.22,8051.36,2381.02,2264.73,8680.12,6438.07,97.85,50508.85,648.84,2953.96,646.52,1765.65,932.75,453.04,3416.14,764.56,1939.66,79.98,3124.65,1334.12,1679.83,11.67,130.28,245.92,255.71,1058.37,10120.4,2741.07,686.95,1476.82,3144.4,2324.38
2023/06/12,885.76,3312.42,10662.69,7990.11,2315.23,2230.14,8722.76,6379.17,98.13,50320.29,647.14,2945.18,637.52,1755.51,944.7,454.96,3448.83,759.84,1830.53,80.28,3084.68,1326.8,1646.29,11.55,129.84,244.38,255.46,1046.72,10060.4,2789.82,687.85,1445.72,3156.75,2330.9
2023/06/09,883.71,3262.9,10672.34,8134.58,2270.51,2201.72,8745.21,6369.87,99.87,50678.29,641.23,2911.16,637.29,1775.98,944.36,459.74,3495.59,752.47,1790.31,80.14,3068.11,1323.83,1646.56,11.5,130.27,245.89,259.06,1056.78,10174.35,2775.46,695.35,1444.63,3194.89,2341.58
2023/06/08,876.13,3195.95,10741.23,8102.59,2260.84,2165.84,8723.55,6379.84,98.42,50094.62,635.01,2905.96,627.49,1770.42,935.52,457.29,3489.29,747.13,1764.69,79.45,3044.21,1303.47,1616.45,11.5,130.0,242.99,256.18,1064.2,10130.32,2755.31,685.46,1439.9,3176.49,2335.27
