종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
유투바이오,2023.10.23~10.24,-,"3,300~3,900",,신한투자증권,
퀄리타스반도체,2023.10.18~10.19,-,"13,000~15,000",,한국투자증권,
에스엘에스바이오,2023.10.10~10.11,-,"8,200~9,400",,하나증권,
신성에스티,2023.10.10~10.11,-,"22,000~25,000",,미래에셋증권,
퓨릿(구.신디프),2023.10.05~10.06,-,"8,800~10,700",,미래에셋증권,
에이치엠씨아이비스팩6호,2023.09.25~09.26,-,"2,000~2,000",,현대차증권,
두산로보틱스,2023.09.21~09.22,-,"21,000~26,000",,"한국투자증권,미래에셋증권,NH투자증권,KB증권,크레디트스위스증권",
한싹,2023.09.19~09.20,-,"8,900~11,000",,케이비증권,
레뷰코퍼레이션,2023.09.19~09.20,-,"11,500~13,200",,삼성증권,
신한스팩11호,2023.09.19~09.20,-,"2,000~2,000",,신한투자증권,
밀리의서재,2023.09.18~09.19,-,"20,000~23,000",,미래에셋증권,
아이엠티,2023.09.18~09.19,-,"10,500~12,000",,"유안타증권,유진투자증권",
인스웨이브시스템즈,2023.09.14~09.15,-,"20,000~24,000",,신영증권,
상상인스팩4호,2023.09.04~09.05,"2,000","2,000~2,000",504.77:1,상상인증권,
한화플러스스팩4호,2023.08.29~08.30,"2,000","2,000~2,000",753.02:1,한화투자증권,
대신밸런스스팩16호,2023.08.23~08.24,"2,000","2,000~2,000",527.68:1,대신증권,
유안타스팩11호,2023.08.22~08.23,"2,000","2,000~2,000",296.20:1,유안타증권,
대신밸런스스팩15호,2023.08.21~08.22,"2,000","2,000~2,000",548.99:1,대신증권,
한국스팩12호,2023.08.21~08.22,"2,000","2,000~2,000",872.19:1,한국투자증권,
시큐레터,2023.08.14~08.16,"12,000","9,200~10,600",1698.41:1,대신증권,
스마트레이더시스템,2023.08.10~08.11,"8,000","5,800~6,800",1366.31:1,대신증권,
넥스틸,2023.08.09~08.10,"11,500","11,500~12,500",4.63:1,하나증권,
빅토리콘텐츠(구.빅텐츠),2023.08.07~08.08,"23,000","21,000~23,000",181.33:1,NH투자증권,
큐리옥스바이오시스템즈,2023.08.01~08.02,"13,000","13,000~16,000",10.12:1,키움증권,
SK증권스팩10호,2023.08.01~08.02,"2,000","2,000~2,000",1193.68:1,SK증권,
코츠테크놀로지,2023.08.01~08.02,"13,000","10,000~11,500",1682:1,"한국투자증권,하이투자증권",
하나스팩28호,2023.08.01~08.02,"2,000","2,000~2,000",282.12:1,하나증권,
KB스팩26호,2023.07.31~08.01,"2,000","2,000~2,000",400.59:1,KB증권,
파두,2023.07.27~07.28,"31,000","26,000~31,000",79.75:1,"NH투자증권,한국투자증권,한화증권,현대차증권,유진투자증권,KB증권",
엠아이큐브솔루션,2023.07.26~07.27,"12,000","8,500~10,000",1695.11:1,한국투자증권,
시지트로닉스,2023.07.24~07.25,"25,000","18,000~20,000",918.61:1,유안타증권,
파로스아이바이오,2023.07.17~07.18,"14,000","14,000~18,000",347.44:1,한국투자증권,
버넥트,2023.07.17~07.18,"16,000","11,500~13,600",1311.65:1,대신증권,
에이엘티,2023.07.17~07.18,"25,000","16,700~20,500",2512.24:1,미래에셋증권,
유안타스팩14호,2023.07.17~07.18,"2,000","2,000~2,000",90.47:1,유안타증권,
뷰티스킨,2023.07.13~07.14,"26,000","21,000~24,000",2316.13:1,DB금융투자,
SK증권스팩9호,2023.07.11~07.12,"2,000","2,000~2,000",591.92:1,SK증권,
센서뷰,2023.07.10~07.11,"4,500","2,900~3,600",1568.04:1,삼성증권,
와이랩,2023.07.10~07.11,"9,000","7,000~8,000",1917.16:1,한국투자증권,
필에너지,2023.07.05~07.06,"34,000","26,300~30,000",1318:1,"미래에셋증권,삼성증권",
디비금융스팩11호,2023.07.03~07.04,"2,000","2,000~2,000",161.42:1,DB금융투자,
이노시뮬레이션,2023.06.27~06.28,"15,000","13,000~15,000",2113.78:1,하나증권,
교보스팩14호,2023.06.26~06.27,"2,000","2,000~2,000",74.5:1,교보증권,
오픈놀,2023.06.21~06.22,"10,000","11,000~13,500",49.04:1,하나증권,
시큐센,2023.06.20~06.21,"3,000","2,000~2,400",1932.1:1,신한투자증권,
알멕,2023.06.20~06.21,"50,000","40,000~45,000",1355.60:1,NH투자증권,
하나스팩29호,2023.06.19~06.20,"2,000","2,000~2,000",35.18:1,하나증권,
하이스팩8호,2023.06.13~06.14,"2,000","2,000~2,000",125.39:1,하이투자증권,
KB스팩25호,2023.06.13~06.14,"2,000","2,000~2,000",117.06:1,케이비증권,
NH스팩29호,2023.06.13~06.14,"2,000","2,000~2,000",18.31:1,NH투자증권,
프로테옴텍,2023.06.07~06.08,"4,500","5,400~6,600",35.43:1,키움증권,
큐라티스,2023.06.05~06.07,"4,000","6,500~8,000",155.80:1,"대신증권,신영증권",
마녀공장,2023.05.25~05.26,"16,000","12,000~14,000",1265.33:1,"한국투자증권,유진투자증권",
나라셀라,2023.05.22~05.23,"20,000","20,000~24,000",4.84:1,신영증권,
진영(구.진영엘디엠),2023.05.22~05.23,"5,000","3,600~4,200",1452.49:1,하이투자증권,
기가비스,2023.05.15~05.16,"43,000","34,400~39,700",823.74:1,삼성증권,
모니터랩,2023.05.10~05.11,"9,800","7,500~9,800",1785.11:1,미래에셋증권,
씨유박스,2023.05.09~05.10,"15,000","17,200~23,200",53.06:1,"신한투자증권,SK증권,,신영증권",
키움스팩8호,2023.05.08~05.09,"2,000","2,000~2,000",11.23:1,키움증권,
트루엔,2023.05.08~05.09,"12,000","10,000~12,000",1481.83:1,미래에셋증권,
에스바이오메딕스,2023.04.24~04.25,"18,000","16,000~18,000",994.80:1,미래에셋증권,
토마토시스템,2023.04.18~04.19,"18,200","18,200~22,200",266.16:1,교보증권,
마이크로투나노,2023.04.17~04.18,"15,500","13,500~15,500",1636.63:1,한국투자증권,
미래에셋비전스팩3호,2023.03.28~03.29,"2,000","2,000~2,000",35.13:1,미래에셋증권,
삼성FN리츠(유가),2023.03.27~03.28,"5,000","5,000~5,000",1.87:1,삼성증권 한국투자증권 NH투자증권 KB증권,
IBKS스팩22호,2023.03.27~03.28,"2,000","2,000~2,000",51.76:1,IBK투자증권,
하나스팩27호,2023.03.27~03.28,"2,000","2,000~2,000",2.45:1,하나증권,
지아이이노베이션,2023.03.21~03.22,"13,000","16,000~21,000",262.2:1,"NH투자증권,하나증권,삼성증권",
엘비인베스트먼트,2023.03.20~03.21,"5,100","4,400~5,100",1165.75:1,미래에셋증권,
한화위탁관리부동산투자회사,2023.03.13~03.14,"5,000","5,000~5,000",0.53:1,"한국투자증권,한화투자증권,SK증권",
유안타스팩12호,2023.03.07~03.08,"2,000","2,000~2,000",1.53:1,유안타증권,
미래에셋드림스팩1호,2023.03.06~03.07,"10,000","10,000~10,000",0.45:1,미래에셋증권,
금양그린파워,2023.03.02~03.03,"10,000","6,700~8,000",1312.1:1,삼성증권,
NH스팩28호,2023.02.27~02.28,"2,000","2,000~2,000",374.56:1,NH투자증권,
자람테크놀로지,2023.02.22~02.23,"22,000","16,000~20,000",1030.65:1,신영증권,
하나스팩26호,2023.02.22~02.23,"2,000","2,000~2,000",75.97:1,하나증권,
나노팀,2023.02.20~02.21,"13,000","11,500~13,000",1637.43:1,한국투자증권,
삼성스팩8호,2023.02.20~02.21,"10,000","10,000~10,000",170.79:1,삼성증권,
바이오인프라,2023.02.20~02.21,"21,000","18,000~21,000",1034.74:1,DB금융투자,
유안타스팩13호,2023.02.16~02.17,"2,000","2,000~2,000",16.36:1,유안타증권,
미래에셋비전스팩2호,2023.02.14~02.15,"2,000","2,000~2,000",253.85:1,미래에셋증권,
이노진,2023.02.09~02.10,"3,000","2,500~3,000",1643.88:1,IBK투자증권,
제이오,2023.02.07~02.08,"13,000","10,000~13,000",142.47:1,한국투자증권,
샌즈랩,2023.02.06~02.07,"10,500","8,500~10,500",868.07:1,키움증권,
꿈비,2023.01.31~02.01,"5,000","4,000~4,500",1772.59:1,키움증권,
스튜디오미르,2023.01.26~01.27,"19,500","15,300~19,500",1592.89:1,미래에셋증권,
삼기이브이,2023.01.25~01.26,"11,000","13,800~16,500",117.63:1,대신증권,
오브젠,2023.01.16~01.17,"18,000","18,000~24,000",5.97:1,한국투자증권,
미래반도체,2023.01.16~01.17,"6,000","5,300~6,000",938.26:1,신한투자증권,
한주라이트메탈(구.한주금속),2023.01.10~01.11,"3,100","2,700~3,100",565.18:1,"미래에셋증권, 현대차증권, 유진투자증권",
티이엠씨,2023.01.10~01.11,"28,000","32,000~38,000",0.81:1,한화투자증권,
신영스팩9호,2022.12.15~12.16,"2,000","2,000~2,000",0.64:1,신영증권,
바이오노트(유가),2022.12.13~12.14,"9,000","18,000~22,000",14.61:1,NH투자증권,
비엔케이스팩1호,2022.12.12~12.13,"2,000","2,000~2,000",0.29:1,BNK투자증권,
IBKS스팩21호,2022.12.06~12.07,"2,000","2,000~2,000",0.95:1,IBK투자증권,
NH스팩27호,2022.12.06~12.07,"2,000","2,000~2,000",0.58:1,NH투자증권,
에스에이엠지엔터테인먼트,2022.11.24~11.25,"17,000","21,600~26,700",6.90:1,NH투자증권,
대신밸런스스팩14호,2022.11.24~11.25,"2,000","2,000~2,000",2.88:1,대신증권,
유진스팩9호,2022.11.22~11.23,"2,000","2,000~2,000",8.01:1,유진투자증권,
NH스팩26호,2022.11.21~11.22,"2,000","2,000~2,000",3.46:1,NH투자증권,
대신밸런스스팩13호,2022.11.17~11.18,"2,000","2,000~2,000",7.98:1,대신증권,
펨트론,2022.11.15~11.16,"8,000","10,000~11,000",14.59:1,하나증권,
인벤티지랩,2022.11.11~11.14,"12,000","19,000~26,000",5.99:1,한국투자증권,
엔젯,2022.11.09~11.10,"10,000","12,000~15,200",1.86:1,미래에셋증권,
티에프이,2022.11.08~11.09,"10,500","9,000~10,500",87.78:1,IBK투자증권,
유비온,2022.11.08~11.09,"2,000","1,800~2,000",57.80:1,미래에셋증권,
티쓰리엔터테인먼트,2022.11.07~11.08,"1,700","1,500~1,700",1384.30:1,미래에셋증권,
윤성에프앤씨,2022.11.02~11.03,"49,000","53,000~62,000",1.73:1,미래에셋증권,
디티앤씨알오,2022.11.02~11.03,"17,000","22,000~25,000",5.73:1,키움증권,
뉴로메카,2022.10.26~10.27,"16,900","14,000~16,900",1181.88:1,대신증권,
제이아이테크,2022.10.26~10.27,"16,000","13,000~16,000",29.59:1,미래에셋증권,
NH스팩25호,2022.10.24~10.25,"2,000","2,000~2,000",139.77:1,NH투자증권,
큐알티,2022.10.24~10.25,"44,000","51,400~62,900",7.44:1,미래에셋증권,
교보스팩13호,2022.10.24~10.25,"2,000","2,000~2,000",21.84:1,교보증권,
KB스팩23호,2022.10.24~10.25,"2,000","2,000~2,000",48.57:1,KB증권,
저스템,2022.10.19~10.20,"10,500","9,500~11,500",82.63:1,미래에셋증권,
산돌,2022.10.18~10.19,"18,800","16,000~18,800",113.53:1,KB증권,
IBKS스팩20호,2022.10.18~10.19,"2,000","2,000~2,000",70.54:1,IBK투자증권,
삼성스팩7호,2022.10.17~10.18,"10,000","10,000~10,000",430.03:1,삼성증권,
플라즈맵,2022.10.12~10.13,"7,000","9,000~11,000",2.76:1,미래에셋증권,
한국스팩11호,2022.10.11~10.12,"2,000","2,000~2,000",140.66:1,한국투자증권,
하나금융스팩25호,2022.10.11~10.12,"10,000","10,000~10,000",18.30:1,하나증권,
핀텔,2022.10.11~10.12,"8,900","7,500~8,900",6.42:1,대신증권,
NH스팩24호,2022.10.11~10.12,"2,000","2,000~2,000",193.40:1,NH투자증권,
샤페론,2022.10.06~10.07,"5,000","8,200~10,200",9.39:1,NH투자증권,
에스비비테크,2022.10.05~10.06,"12,400","10,100~12,400",1657.60:1,미래에셋증권,
오에스피,2022.10.04~10.05,"8,400","6,300~8,400",1018.61:1,대신증권,
탑머티리얼,2022.10.04~10.05,"30,000","27,000~30,000",11.95:1,한국투자증권,
이노룰스,2022.09.27~09.28,"12,500","11,000~12,500",781.31:1,NH투자증권,
SK증권스팩8호,2022.09.26~09.27,"2,000","2,000~2,000",240.08:1,SK증권,
모델솔루션,2022.09.26~09.27,"27,000","24,000~27,000",1514.80:1,KB증권,
유안타스팩10호,2022.09.23~09.26,"2,000","2,000~2,000",51.18:1,유안타증권,
선바이오,2022.09.22~09.23,"11,000","14,000~16,000",186.28:1,하나증권,
더블유씨피,2022.09.20~09.21,"60,000","80,000~100,000",7.25:1,"KB증권,신한금융투자,삼성증권",
알피바이오,2022.09.20~09.21,"13,000","10,000~13,000",1518.2:1,한국투자증권,
한화플러스스팩3호,2022.09.20~09.21,"2,000","2,000~2,000",159.84:1,한화투자증권,
하나금융스팩24호,2022.09.19~09.20,"2,000","2,000~2,000",117.9:1,하나증권,
오픈엣지테크놀로지,2022.09.15~09.16,"10,000","15,000~18,000",78.17:1,삼성증권,
KB스타리츠(유가),2022.09.15~09.16,"5,000","5,000~5,000",2.06:1,KB증권,
KB스팩22호,2022.09.13~09.14,"2,000","2,000~2,000",209.61:1,KB증권,
하나금융스팩23호,2022.09.01~09.02,"2,000","2,000~2,000",176.87:1,하나증권,
키움스팩7호,2022.08.29~08.30,"2,000","2,000~2,000",214.42:1,키움증권,
IBKS스팩19호,2022.08.16~08.17,"2,000","2,000~2,000",219.63:1,IBK투자증권,
신영스팩8호,2022.08.16~08.17,"2,000","2,000~2,000",169.19:1,신영증권,
쏘카(유가),2022.08.10~08.11,"28,000","34,000~45,000",14.4:1,"미래에셋증권,삼성증권,유안타증권",
대성하이텍,2022.08.09~08.10,"9,000","7,400~9,000",1136.4:1,신한금융투자,
에이치와이티씨,2022.07.28~07.29,"15,000","13,000~15,000",432.58:1,"신영증권,유진투자증권,현대차증권",
새빗켐,2022.07.26~07.27,"35,000","25,000~30,000",1724.96:1,한국투자증권,
유안타스팩9호,2022.07.25~07.26,"2,000","2,000~2,000",89.46:1,유안타증권,
수산인더스트리(유가),2022.07.20~07.21,"35,000","35,000~43,100",3.4:1,"삼성증권,미래에셋증권",
에이프릴바이오,2022.07.19~07.20,"16,000","20,000~23,000",4.76:1,NH투자증권,
신한스팩10호,2022.07.19~07.20,"2,000","2,000~2,000",132.38:1,신한금융투자,
아이씨에이치,2022.07.19~07.20,"34,000","34,000~44,000",2.51:1,삼성증권,
성일하이텍,2022.07.18~07.19,"50,000","40,700~47,500",1207.1:1,"KB증권,대신증권,삼성증권",
IBKS스팩18호,2022.07.12~07.13,"2,000","2,000~2,000",437.85:1,IBK투자증권,
루닛,2022.07.12~07.13,"30,000","44,000~49,000",8.99:1,NH투자증권,
에이치피에스피,2022.07.06~07.07,"25,000","23,000~25,000",1159.05:1,NH투자증권,
대신밸런스12호스팩,2022.07.05~07.06,"2,000","2,000~2,000",151.42:1,대신증권,
영창케미칼,2022.07.04~07.05,"18,600","15,000~18,600",682.13:1,하나증권,
코난테크놀로지,2022.06.27~06.28,"25,000","21,000~25,000",1386.86:1,한국투자증권,
삼성스팩6호,2022.06.21~06.22,"2,000","2,000~2,000",548.2:1,삼성증권,
넥스트칩,2022.06.21~06.22,"13,000","9,900~11,600",1727.38:1,대신증권,
NH스팩23호,2022.06.16~06.17,"2,000","2,000~2,000",392.85:1,NH투자증권,
KB스팩21호,2022.06.14~06.15,"2,000","2,000~2,000",194.18:1,KB증권,
교보스팩12호,2022.06.14~06.15,"2,000","2,000~2,000",91.5:1,교보증권,
보로노이,2022.06.14~06.15,"40,000","40,000~46,000",5.57:1,"한국투자증권,미래에셋증권",
위니아에이드,2022.06.14~06.15,"16,200","14,200~16,200",111.26:1,신한금융투자,
레이저쎌,2022.06.14~06.15,"16,000","12,000~14,000",1845.11:1,삼성증권,
비플라이소프트,2022.06.09~06.10,"10,000","16,500~19,000",26.86:1,IBK투자증권,
범한퓨얼셀,2022.06.08~06.09,"40,000","32,200~40,000",710.37:1,"NH투자증권,한국투자증권,하이투자증권,DB금융투자",
청담글로벌,2022.05.24~05.25,"6,000","8,400~9,600",42.1:1,"KB증권,대신증권",
하나금융스팩22호,2022.05.17~05.18,"2,000","2,000~2,000",589.29:1,하나증권,
마스턴프리미어리츠(유가),2022.05.12~05.13,"5,000","5,000~5,000",669.20:1,삼성증권,
가온칩스,2022.05.11~05.12,"14,000","11,000~13,000",2183.29:1,대신증권,
대명에너지,2022.05.03~05.04,"15,000","15,000~18,000",151.58:1,"한국투자증권,삼성증권",
상상인스팩3호,2022.04.19~04.20,"2,000","2,000~2,000",168.51:1,상상인증권,
포바이포,2022.04.19~04.20,"17,000","11,000~14,000",3763.37:1,미래에셋증권,
신영스팩7호,2022.04.18~04.19,"2,000","2,000~2,000",141.45:1,신영증권,
신한스팩9호,2022.04.18~04.19,"2,000","2,000~2,000",244.61:1,신한금융투자,
미래에셋비전스팩1호,2022.04.11~04.12,"2,000","2,000~2,000",1414.41:1,미래에셋증권,
키움스팩6호,2022.03.28~03.29,"2,000","2,000~2,000",526.12:1,키움증권,
지투파워,2022.03.22~03.23,"16,400","13,500~16,400",2029.37:1,"한국투자증권,KB증권",
유진스팩8호,2022.03.22~03.23,"2,000","2,000~2,000",700.69:1,유진투자증권,
세아메카닉스,2022.03.15~03.16,"4,400","3,500~4,000",2475.87:1,신한금융투자,
공구우먼,2022.03.14~03.15,"20,000","26,000~31,000",7.53:1,미래에셋증권,
유일로보틱스,2022.03.07~03.08,"10,000","7,600~9,200",2535.3:1,한국투자증권,
코람코더원리츠(유가),2022.03.02~03.03,"5,000","5,000~5,000",451:1,"하나금융투자,삼성증권",
모아데이타,2022.02.25~02.28,"20,000","24,000~28,000",23.39:1,하나금융투자,
SK증권스팩7호,2022.02.22~02.23,"2,000","2,000~2,000",269.39:1,SK증권,
노을,2022.02.21~02.22,"10,000","13,000~17,000",8.7:1,"한국투자증권, 삼성증권",
비씨엔씨,2022.02.21~02.22,"13,000","9,000~11,500",2686.22:1,NH투자증권,
풍원정밀,2022.02.17~02.18,"15,200","13,200~15,200",2235.98:1,대신증권,
브이씨,2022.02.15~02.16,"15,000","15,000~19,500",46.41:1,한국투자증권,
스톤브릿지벤처스,2022.02.15~02.16,"8,000","9,000~10,500",22.73:1,"KB증권,삼성증권",
하나금융스팩21호,2022.02.15~02.16,"2,000","2,000~2,000",219.08:1,하나금융투자,
퓨런티어,2022.02.14~02.15,"15,000","11,400~13,700",2683:1,"유안타증권,신한금융투자",
한국스팩10호,2022.02.10~02.11,"2,000","2,000~2,000",802:1,한국투자증권,
바이오에프디엔씨,2022.02.09~02.10,"28,000","23,000~29,000",4.74:1,DB금융투자,
IBKS스팩17호,2022.02.08~02.09,"2,000","2,000~2,000",1736:1,IBK투자증권,
인카금융서비스,2022.02.07~02.08,"18,000","23,000~27,000",25.29:1,한국투자증권,
나래나노텍,2022.01.24~01.25,"17,500","17,500~20,500",24.36:1,미래에셋증권,
아셈스,2022.01.24~01.25,"8,000","7,000~8,000",2435.07:1,한국투자증권,
스코넥,2022.01.20~01.21,"13,000","9,000~12,000",1751.25:1,신영증권,
이지트로닉스,2022.01.20~01.21,"22,000","19,000~22,000",887.40:1,NH투자증권,
LG에너지솔루션(유가),2022.01.18~01.19,"300,000","257,000~300,000",69.34:1,"KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자",
애드바이오텍,2022.01.13~01.14,"7,000","7,000~8,000",27.20:1,대신증권,
케이옥션,2022.01.12~01.13,"20,000","17,000~20,000",1408.33:1,신영증권,
오토앤,2022.01.11~01.12,"5,300","4,200~4,800",2395.63:1,"미래에셋증권,현대차증권",
디비금융스팩10호,2022.01.10~01.11,"2,000","2,000~2,000",234.95:1,DB금융투자,
래몽래인,2021.12.20~12.21,"15,000","11,500~13,000",2054.63:1,IBK투자증권,
하나금융스팩20호,2021.12.16~12.17,"2,000","2,000~2,000",339.28:1,하나금융투자,
NH스팩22호,2021.12.16~12.17,"2,000","2,000~2,000",362.29:1,NH투자증권,
하이스팩7호,2021.12.09~12.10,"2,000","2,000~2,000",93.32:1,하이투자증권,
교보스팩11호,2021.12.09~12.10,"2,000","2,000~2,000",107:1,교보증권,
케이티비네트워크,2021.12.06~12.07,"5,800","5,800~7,200",327.26:1,"한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권",
툴젠,2021.12.02~12.03,"70,000","100,000~120,000",164.13:1,한국투자증권,
신한서부티엔디리츠(유가),2021.11.24~11.26,"5,000","5,000~5,000",151.98:1,"한국투자증권,신한금융투자,하나금융투자",
대신밸런스스팩11호,2021.11.22~11.23,"2,000","2,000~2,000",150.83:1,대신증권,
미래에셋글로벌리츠(유가),2021.11.22~11.24,"5,000","5,000~5,000",753.4:1,"미래에셋증권,KB증권,NH투자증권",
알비더블유,2021.11.11~11.12,"21,400","18,700~21,400",3706.79:1,미래에셋증권,
마인즈랩,2021.11.11~11.12,"30,000","26,000~30,000",89.9:1,"NH투자증권,하나금융투자",
바이옵트로,2021.11.09~11.10,"7,500","7,500~8,500",68.11:1,한국투자증권,
트윔,2021.11.08~11.09,"22,000","17,800~20,400",2266.84:1,대신증권,
NH올원리츠(유가),2021.11.03~11.05,"5,000","5,000~5,000",453.48:1,"한국투자증권,NH투자증권,대신증권",
지오엘리먼트,2021.11.02~11.03,"10,000","7,600~8,700",1537.44:1,NH투자증권,
비트나인,2021.11.01~11.02,"11,000","8,700~9,700",589.64:1,하나금융투자,
디어유,2021.11.01~11.02,"26,000","18,000~24,000",1598.15:1,한국투자증권,
아이티아이즈,2021.11.01~11.02,"14,300","12,500~14,300",633.61:1,신한금융투자,
지니너스,2021.10.27~10.28,"20,000","24,700~32,200",162.5:1,"대신증권,NH투자증권",
카카오페이(유가),2021.10.25~10.26,"90,000","60,000~90,000",29.6:1,"삼성증권,대신증권,한국투자증권,신한금융투자",
피코그램,2021.10.25~10.26,"12,500","11,000~12,500",1520.35:1,IBK투자증권,
엔켐,2021.10.21~10.22,"42,000","30,000~35,000",1275.69:1,"대신증권,신한금융투자",
리파인,2021.10.20~10.21,"21,000","21,000~24,000",5.95:1,KB증권,
지앤비에스엔지니어링,2021.10.19~10.20,"17,400","14,300~17,400",1479.87:1,삼성증권,
아이패밀리에스씨,2021.10.18~10.19,"25,000","39,000~48,000",20.88:1,삼성증권,
차백신연구소,2021.10.12~10.13,"11,000","11,000~15,000",42.16:1,삼성증권,
지아이텍,2021.10.12~10.13,"14,000","11,500~13,100",2968.35:1,미래에셋증권,
NH스팩21호,2021.10.05~10.06,"2,000","2,000~2,000",477.64:1,NH투자증권,
케이카(유가),2021.09.30~10.01,"25,000","34,300~43,200",8.72:1,"NH투자증권,대신증권,삼성증권,하나금융투자",
씨유테크,2021.09.28~09.29,"6,000","5,100~5,600",1408.69:1,대신증권,
원준,2021.09.27~09.28,"65,000","52,000~60,000",1623.28:1,NH투자증권,
하나금융스팩19호,2021.09.27~09.28,"2,000","2,000~2,000",95.76:1,하나금융투자,
아스플로,2021.09.27~09.28,"25,000","19,000~22,000",2818.08:1,미래에셋증권,
NH스팩20호,2021.09.23~09.24,"2,000","2,000~2,000",480.51:1,NH투자증권,
에스앤디,2021.09.14~09.15,"28,000","30,000~32,000",4.20:1,유진투자증권,
실리콘투,2021.09.14~09.15,"27,200","23,800~27,200",1701:1,"삼성증권,미래에셋증권",
프롬바이오,2021.09.14~09.15,"18,000","21,500~24,500",48.24:1,NH투자증권,
신한스팩8호,2021.09.13~09.14,"2,000","2,000~2,000",361.39:1,신한금융투자,
바이오플러스,2021.09.13~09.14,"31,500","28,500~31,500",1206.63:1,키움증권,
현대중공업(유가),2021.09.07~09.08,"60,000","52,000~60,000",404.29:1,"미래에셋,한국투자,하나금융,KB증권,삼성증권,대신증권,DB금융,신영증권",
대신밸런스스팩10호,2021.09.06~09.07,"2,000","2,000~2,000",207.57:1,대신증권,
유진스팩7호,2021.09.02~09.03,"2,000","2,000~2,000",3921.38:1,유진증권,
와이엠텍,2021.08.31~09.01,"28,000","21,000~25,000",2939.57:1,KB증권,
에이비온,2021.08.30~08.31,"17,000","14,500~17,000",30.66:1,"미래에셋증권,한화투자증권,유진투자증권",
SK리츠(유가),2021.08.30~09.01,"5,000","5,000~5,000",552:1,"한국투자증권,삼성증권,SK증권,하나금융투자",
일진하이솔루스(유가),2021.08.24~08.25,"34,300","25,700~34,300",654.5:1,"미래에셋증권,삼성증권,현대차증권,대신증권",
IBKS스팩16호,2021.08.24~08.25,"2,000","2,000~2,000",388.37:1,IBK투자증권,
바이젠셀,2021.08.12~08.13,"52,700","42,800~52,700",886.2:1,"대신증권,KB증권",
브레인즈컴퍼니,2021.08.09~08.10,"25,000","20,000~22,500",1190.39:1,키움증권,
아주스틸(유가),2021.08.09~08.10,"15,100","12,700~15,100",1419.73:1,미래에셋증권,
롯데렌탈(유가),2021.08.09~08.10,"59,000","47,000~59,000",65.81:1,"NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융",
딥노이드,2021.08.05~08.06,"42,000","31,500~42,000",834.86:1,KB증권,
한컴라이프케어(유가),2021.08.05~08.06,"13,700","10,700~13,700",109.8:1,미래에셋증권,
디앤디플랫폼리츠,2021.08.05~08.09,"5,000","5,000~5,000",36.43:1,"NH투자증권,신한금융투자,대신증권",
플래티어,2021.08.04~08.05,"11,000","8,500~10,000",2498.8:1,"KB증권,하나금융투자",
엠로,2021.08.04~08.05,"22,600","20,100~22,600",250:1,한국투자증권,
크래프톤(유가),2021.08.02~08.03,"498,000","400,000~498,000",7.79:1,"미래에셋증권,NH투자증권,삼성증권",
원티드랩,2021.08.02~08.03,"35,000","28,000~35,000",1731.23:1,한국투자증권,
에이치케이이노엔,2021.07.29~07.30,"59,000","50,000~59,000",388.9:1,"한국투자증권,삼성증권",
카카오뱅크(유가),2021.07.26~07.27,"39,000","33,000~39,000",181.1:1,"KB증권,한국투자증권,하나금융투자,현대차증권",
한화플러스스팩2호,2021.07.26~07.27,"2,000","2,000~2,000",481.19:1,한화투자증권,
에브리봇,2021.07.19~07.20,"36,700","32,600~36,700",159.42:1,NH투자증권,
맥스트,2021.07.16~07.19,"15,000","11,000~13,000",6762.75:1,하나금융투자,
큐라클,2021.07.13~07.14,"25,000","20,000~25,000",1546.9:1,"삼성증권,NH투자증권",
에스디바이오센서(유가),2021.07.08~07.09,"52,000","45,000~52,000",274.02:1,"NH투자증권,한국투자증권,삼성증권,KB증권",
오비고,2021.07.01~07.02,"14,300","12,400~14,300",1485.15:1,NH투자증권,
아모센스,2021.06.15~06.16,"12,400","12,400~15,200",26.55:1,신한금융투자,
이노뎁,2021.06.09~06.10,"18,000","14,000~18,000",692.12:1,하이투자증권,
삼성머스트스팩5호,2021.06.08~06.09,"2,000","2,000~2,000",908.55:1,삼성증권,
라온테크,2021.06.07~06.08,"18,000","12,800~15,800",779.10:1,KB증권,
엘비루셈,2021.06.02~06.03,"14,000","12,000~14,000",824.51:1,"한국투자증권,KB증권",
에이디엠코리아,2021.05.25~05.26,"3,800","2,900~3,300",2345.4:1,하나금융투자,
제주맥주,2021.05.13~05.14,"3,200","2,600~2,900",1747.82:1,대신증권,
진시스템,2021.05.13~05.14,"20,000","16,000~20,000",354.58:1,삼성증권,
삼영에스앤씨,2021.05.11~05.12,"11,000","7,800~10,000",2392.84:1,미래에셋증권,
삼성스팩4호,2021.05.11~05.12,"2,000","2,000~2,000",78.63:1,삼성증권,
NH스팩19호(유가),2021.05.11~05.12,"2,000","2,000~2,000",21.64:1,NH투자증권,
샘씨엔에스,2021.05.10~05.11,"6,500","5,000~5,700",1104.29:1,대신증권,
씨앤씨인터내셔널,2021.05.06~05.07,"47,500","35,000~47,500",898:1,"NH투자증권,삼성증권,대신증권",
에이치피오,2021.05.03~05.04,"22,200","22,200~25,400",95.01:1,"대신증권,키움증권",
