종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
에스맥,2008.01.14~01.15,"3,500","7,200~8,200",82.4:1,한국투자증권,
일신랩,2007.12.13~12.14,"4,500","6,000~7,000",536:1,현대증권,
쎄믹스,2007.12.12~12.13,"3,300","5,500~7,000",381:1,CJ투자증권,
미성포리테크,2007.12.10~12.11,"6,300","7,000~8,000",18.06:1,굿모닝신한증권,
서원인텍,2007.12.10~12.11,"6,000","7,000~8,000",0.59:1,교보증권,
이씨에스텔레콤,2007.12.07~12.10,"2,500","3,200~4,000",435:1,현대증권,
대창메탈,2007.12.04~12.05,"6,500","9,500~11,500",187:1,미래에셋증권,
한전KPS(유가),2007.12.03~12.05,"13,300","11,000~13,300",112:1,굿모닝신한증권,
위즈위드,2007.11.26~11.27,"5,200","6,500~7,500",17.6:1,굿모닝신한증권,
성진지오텍(유가),2007.11.19~11.20,"14,000","14,000~17,000",2.33:1,대우증권,
화풍방직(유가),2007.11.13~11.15,"5,600","5,212~5,212",151:1,대우증권,
세실,2007.11.08~11.09,"11,000","11,000~13,000",21:1,CJ투자증권,
알에프세미,2007.11.08~11.09,"4,800","6,500~7,500",84:1,대우증권,
디엔에프(유가),2007.11.07~11.08,"12,000","18,700~21,500",2.78:1,한국투자증권,
씨모텍,2007.11.01~11.02,"23,000","32,000~37,000",2.78:1,동양증권,
제이에스전선(유가),2007.11.01~11.02,"24,000","20,000~24,000",383:1,삼성증권,
일진정공,2007.10.25~10.26,"5,200","5,000~5,600",529:1,신흥증권,
비엠티,2007.10.24~10.25,"8,000","8,500~10,000",3.59:1,동양증권,
쉘라인(유가),2007.10.24~10.25,"17,400","18,300~20,600",152:1,삼성증권,
기신정기(유가),2007.10.18~10.19,"10,000","9,500~11,500",223:1,동양증권,
이엠코리아,2007.10.17~10.18,"8,500","8,300~9,300",2.73:1,한국투자증권,
KSS해운(유가),2007.10.17~10.18,"65,000","60,000~65,000",205:1,우리투자증권,
이엘케이,2007.10.17~10.18,"10,000","10,500~12,500",0.62:1,한화증권,
현우산업,2007.10.15~10.16,"6,800","7,400~9,600",5.57:1,대신증권,
효성ITX(유가),2007.10.15~10.16,"5,000","4,000~5,150",454:1,삼성증권,
디아이씨(유가),2007.10.10~10.11,"63,000","55,000~65,000",4.45:1,동양증권,
다믈멀티미디어,2007.10.10~10.11,"4,500","5,000~6,500",166:1,미래에셋증권,
에스에너지,2007.10.04~10.05,"19,000","17,000~19,000",853:1,한화증권,
제이엠텔레콤,2007.10.02~10.04,"5,700","5,000~6,000",25:1,대우증권,
성우전자,2007.10.01~10.02,"11,000","9,000~11,000",4.53:1,CJ투자증권,
엘지에스,2007.10.01~10.02,"11,000","10,000~12,000",17 :1,한화증권,
오디텍,2007.09.27~09.28,"10,000","8,300~10,300",316:1,미래에셋증권,
상보,2007.09.17~09.18,"15,000","12,000~15,000",25:1,한화증권,
미래나노텍,2007.09.14~09.17,"37,000","32,000~37,000",133:1,한국투자증권,
네오티스,2007.09.14~09.17,"11,500","10,000~12,000",58:1,대우증권,
아이에스시테크놀러지,2007.09.13~09.14,"21,000","17,000~21,000",15:1,현대증권,
에스티엑스팬오션(유가),2007.09.13~09.14,"1,720","1,270~1,270",9.47:1,삼성증권,
바이오톡스텍,2007.09.12~09.13,"5,500","4,000~5,500",445:1,한화증권,
옴니시스템,2007.09.10~09.11,"6,500","5,500~6,500",787:1,한국투자증권,
연이정보통신,2007.09.10~09.11,"4,000","3,500~4,000",257:1,교보증권,
푸른기술,2007.09.05~09.06,"12,500","11,000~13,000",989:1,한국투자증권,
웨이브일렉트로닉스,2007.09.03~09.04,"10,000","9,300~10,300",526:1,한국투자증권,
넥스지,2007.08.08~08.09,"9,600","7,500~9,100",386:1,동부증권,
빅솔론,2007.08.07~08.08,"10,000","8,000~9,000",841:1,교보증권,
3노드디지탈,2007.08.02~08.03,"2,500","1,800~2,200",407:1,신영증권,
에스엔케이폴리텍,2007.07.19~07.20,"8,900","6,500~7,500",305:1,키움증권,
아구스,2007.07.18~07.19,"14,500","11,000~13,000",479:1,미래에셋증권,
