iter	Passed	Remaining
362	3486	6118
363	3495	6107
364	3502	6094
365	3511	6082
366	3519	6070
367	3530	6063
368	3541	6055
369	3552	6048
370	3562	6039
371	3574	6034
372	3583	6024
373	3591	6011
374	3601	6002
375	3609	5990
376	3620	5983
377	3631	5976
378	3643	5970
379	3656	5965
380	3667	5957
381	3677	5949
382	3686	5938
383	3697	5931
384	3706	5920
385	3715	5910
386	3726	5902
387	3736	5893
388	3748	5888
389	3760	5881
390	3772	5875
391	3781	5865
392	3789	5852
393	3800	5844
394	3812	5838
395	3824	5832
396	3833	5823
397	3843	5813
398	3851	5801
399	3859	5789
400	3867	5777
401	3877	5768
402	3887	5759
403	3897	5749
404	3908	5741
405	3919	5734
406	3929	5725
407	3940	5718
408	3950	5708
409	3960	5699
410	3968	5687
